Ahe Manohar Tari,Deshpande, Sunita,nonfiction,213,Mauj
Last Mughal, Dalrymple, William,history,199,Penguin
Social Choice & Welfare Vol 39 No. 1, Susan, Gill,economics,235,Springer
Radiowaril Bhashane & Shrutika,Deshpande, P L,nonfiction,213,Mauj
Gun Gayin Awadi,Deshpande, P L,nonfiction,212,Mauj
Aghal Paghal,Deshpande, P L,nonfiction,212,Mauj
Maqta-e-Ghalib,Garg, Sanjay,fiction,221,Mauj
Beyond Degrees,Geoff, Johns,nonfiction,222,HarperCollins
Manasa,Kale, V P,nonfiction,213,Mauj
India from Midnight to Milennium,Tharoor, Shashi,history,198,Penguin
Worlds Greatest Trials, ,history,210,
Great Indian Novel, Tharoor, Shashi,fiction,198,Penguin
O Jerusalem!,Lapierre, Dominique,history,217,vikas
City of Joy, Lapierre, Dominique,fiction,177,vikas
Freedom at Midnight,Lapierre, Dominique,history,167,vikas
Winter of Our Discontent, Steinbeck, John,fiction,196,Penguin
On Education,Russell, Bertrand,philosophy,203,Routledge
Free Will,Harris, Sam,philosophy,203,FreePress
Bookless in Baghdad,Tharoor, Shashi,nonfiction,206,Penguin
Case of the Lame Canary, Gardner, Earle Stanley,fiction,179,
Theory of Everything, Hawking, Stephen,science,217,Jaico
New Markets & Other Essays,Drucker, Peter,economics,176,Penguin
Electric Universe,Bodanis, David,science,201,Penguin
Hunchback of Notre Dame, Hugo, Victor,fiction,175,Random House
Burning Bright,Steinbeck, John,fiction,175,Penguin
Age of Discontuinity, Drucker, Peter,economics,178,Random House
Doctor in the Nude,Gordon, Richard,fiction,179,Penguin
Down and Out in Paris & London,Orwell, George,nonfiction,179,Penguin
Identity & Violence,Sen, Amartya,philosophy,219,Penguin
Beyond the Three Seas,Dalrymple, William,history,197,Random House
Worlds Greatest Short Stories, ,fiction,217,Jaico
Talking Straight,Iacoca, Lee,nonfiction,175,
Maughams Collected Short Stories Vol 3,Maugham, William S,fiction,171,Vintage
Phantom of Manhattan, Forsyth, Frederick,fiction,180,
Ashenden of The British Agent,Maugham, William S,fiction,160,Vintage
Zen & The Art of Motorcycle Maintenance,Pirsig, Robert,philosophy,172,Vintage
Great War for Civilization, Fisk, Robert,history,197,HarperCollins
We the Living,Rand, Ayn,fiction,178,Penguin
Artist and the Mathematician, Aczel, Amir,science,186,HighStakes
History of Western Philosophy,Russell, Bertrand,philosophy,213,Routledge
Selected Short Stories, O'Henry,fiction,215,Jaico
Rationality & Freedom,Sen, Amartya,economics,213,Springer
Clash of Civilizations and Remaking of the World Order,Huntington, Samuel,history,228,Simon&Schuster
Uncommon Wisdom,Capra, Fritjof,nonfiction,197,Fontana
One,Bach, Richard,nonfiction,172,Dell
Karl Marx Biography, Picarne,nonfiction,162,
To Sir With Love,Braithwaite, Clint,fiction,197,Penguin
Half A Life,Naipaul, V S,fiction,196,
Discovery of India, Nehru, Jawaharlal,history,230,
Apulki,Deshpande, P L,nonfiction,211,
Unpopular Essays,Russell, Bertrand,philosophy,198,
Deceiver, Forsyth, Frederick,fiction,178,
Veil: Secret Wars of the CIA,Woodward, Bob,history,171,
Char Shabda,Deshpande, P L,nonfiction,214,
Rosy is My Relative,Durrell, Gerald,fiction,176,
Moon and Sixpence, Maugham, William S,fiction,180,
Political Philosophers, Paul Muren,philosophy,162,
Short History of the World, A,Wells, H G,history,197,
Trembling of a Leaf, Maugham, William S,fiction,205,
Doctor on the Brain,Gordon, Richard,fiction,204,
Simpsons & Their Mathematical Secrets,Singh, Simon,science,233,
Pattern Classification,Duda, Hart,data_science,241,
From Beirut to Jerusalem,Friedman, Thomas,history,202,
Code Book, Singh, Simon,science,197,
Age of the Warrior, Fisk, Robert,history,197,
Final Crisis, Zac, Snaider,comic,257,
Killing Joke, ,comic,283,
Flashpoint, Zac, Snaider,comic,265,
Batman Earth One, Zac, Snaider,comic,265,
Crisis on Infinite Earths, Grant, Morrison,comic,258,
Numbers Behind Numb3rs, Devlin, Keith,science,202,
Superman Earth One - 1,Frank, Miller,comic,259,
Superman Earth One - 2,Frank, Miller,comic,258,
Justice League: Throne of Atlantis,Grant, Morrison,comic,258,
Justice League: The Villains Journey,Adam, Beechen,comic,258,
Death of Superman, ,comic,258,
History of the DC Universe,Adam, Beechen,comic,258,
Batman: The Long Halloween,Adam, Beechen,comic,258,
Life in Letters, Steinbeck, John,nonfiction,196,
Information, Gleick, James,science,233,
Journal of Economics vol 106 No 3, O'heini,economics,235,
Elements of Information Theory,Thomas, Joy,data_science,229,
Power Electronics - Rashid,Rashid, Muhammad,computer_science,235,
Power Electronics - Mohan,Mohan, Ned,computer_science,237,
Neural Networks,Haykin, Simon,data_science,240,
Grapes of Wrath, Steinbeck, John,fiction,196,
Vyakti ani Valli,Deshpande, P L,nonfiction,211,
Statistical Learning Theory,Vapnik, Vladimir,data_science,228,
Empire of the Mughal - The Tainted Throne,Rutherford, Alex,history,180,
Empire of the Mughal - Brothers at War,Rutherford, Alex,history,180,
Empire of the Mughal - Ruler of the World,Rutherford, Alex,history,180,
Empire of the Mughal - The Serpents Tooth,Rutherford, Alex,history,180,
Empire of the Mughal - Raiders from the North,Rutherford, Alex,history,180,
Mossad,Baz-Zohar, Michael,history,236,
Omnibus,Corbett, Jim,nonfiction,223,
20000 Leagues Under the Sea,Verne, Jules,fiction,190,
Batatyachi Chal,Deshpande P L,fiction,200,
Hafasavnuk,Deshpande P L,fiction,211,
Urlasurla,Deshpande P L,fiction,211,
Pointers in C,Kanetkar, Yashwant,computer_science,213,
Cathedral and the Bazaar, Raymond, Eric,computer_science,217,
Design with OpAmps,Franco, Sergio,computer_science,240,
Think Complexity,Downey, Allen,data_science,230,
Devils Advocate, West, Morris,fiction,178,
Ayn Rand Answers,Rand, Ayn,philosophy,203,
Philosophy: Who Needs It,Rand, Ayn,philosophy,171,
Worlds Great Thinkers, ,philosophy,189,
Data Analysis with Open Source Tools,Janert, Phillip,data_science,230,
Brocas Brain,Sagan, Carl,science,174,
Men of Mathematics,Bell, E T,mathematics,217,
Oxford book of Modern Science Writing,Dawkins, Richard,science,240,
Justice, Judiciary and Democracy,Ranjan, Sudhanshu,philosophy,224,
Arthashastra, Kautiyla,philosophy,214,
We the People,Palkhivala,philosophy,216,
We the Nation,Palkhivala,philosophy,216,
Courtroom Genius, Sorabjee, Nadjar,nonfiction,217,
Dongri to Dubai,Zaidi, Hussain,nonfiction,216,
History of England Foundation,Ackroyd, Peter,history,197,
City of Djinns,Dalrymple, William,history,198,
Indias Legal System,Nariman,nonfiction,177,
More Tears to Cry,Sassoon, Jean,fiction,235,
Ropemaker, Dickinson, Peter,fiction,196,
Angels & Demons,Brown, Dan,fiction,170,
Judge, ,fiction,170,
Attorney, ,fiction,170,
Prince, Machiavelli,philosophy,173,
Eyeless in Gaza,Huxley, Aldous,fiction,180,
Tales of Beedle the Bard,Rowling, J K,fiction,184,
Girl with the Dragon Tattoo,Larsson, Steig,fiction,179,
Girl who kicked the Hornets Nest,Larsson, Steig,fiction,179,
Girl who played with Fire,Larsson, Steig,fiction,179,
Batman Handbook,Greg, Rucka,comic,270,
Murphys Law,Geoff, Johns,nonfiction,178,
Structure and Randomness,Tao, Terence,mathematics,252,
Image Processing with MATLAB,Eddins, Steve,signal_processing,241,
Animal Farm,Orwell, George,fiction,180,
Idiot, Dostoevsky, Fyodor,fiction,197,
Christmas Carol, A,Dickens, Charles,fiction,196,
